,0
verdinexor,0.005989426454818788
LSZ-102,-0.04299012059149628
rilapladib,-0.08461934132107352
2-fluorofucose,-0.03620851872902855
DOTMP,0.02558915690794743
5-fluoropyrimidine,0.02129230304416533
bevenopran,-0.03317690127024004
5-octanoylsalicylic-acid,0.018584460109262874
taminadenant,-0.06905551022817423
MS-424,0.03577570276675892
squaric-acid-dibutyl-ester,0.06749049734589703
TS-011,0.047908371838457
NPS-2407,-0.022590559359401283
pelrinone,-0.07475557123156486
evenamide,0.05732421174097282
GSK239512,-0.06107426848409158
SKLB-1028,0.11001109054521349
megestrol,-0.031595265306662436
furvina,-0.04546454361233013
sultamicillin,-0.02995884647199464
monomethyl-fumarate,-0.00041166863253821236
leonurine,-0.021601345761950625
alovudine,-0.07185200658033314
trabodenoson,0.013494847245216768
J147,-0.004375146133466992
CORT-108297,-0.10202449177112004
KPT-9274,-0.07123604766849996
funapide,-0.01606496383423342
MSDC-0602K,-0.014511660406067672
DBPR-211,-0.013204597068588824
AQW-051,0.057727120121430484
ST-1535,-0.03127206726044017
solriamfetol,-0.04923324841365452
OP-0595,-0.04424803629898198
alinidine,0.025988472820644478
R-1487,0.011346660112810998
GSK356278,0.03342292649310098
PF-06305591,-0.028441970850297905
sulopenem,-0.042466167345099004
vedaprofen,-0.06666600410557409
butaprost,-0.002716865670757555
radotinib,-0.02905999396633632
R-121919,-0.04996968552838926
alanosine,-0.029570398452951265
CP-547632,0.08624942289199818
acolbifene,-0.05852414406148389
BMS-935177,0.022488873243158774
LY3295668,-0.1604909888875754
HP-228,0.0010981006618425073
flurbiprofen-axetil,0.049512895840990945
voruciclib,0.003025789767029941
ametantrone,-0.09445648621354986
simurosertib,-0.11261518361058562
allopurinol-riboside,-0.04292136430805522
manitimus,0.02195562357603933
ABT-072,-0.0018138461510771222
Gln-1062,-0.03638687624704628
camobucol,-0.03528003324652456
NSP-805,-0.07547117403755679
AVE-3085,-0.010157549493831484
BIA-10-2474,0.04727239287592034
betamethasone-butyrate-propionate,-0.04417536321447956
nitroflurbiprofen,-0.03513809909834986
apyramide,-0.051434220587356805
hepsulfam,-0.05203321195039195
parcetasal,-0.0005582821397096544
estradiol-3-O-sulfamate,-0.07486979627291342
lusaperidone,-0.036794162585743764
nuvenzepine,-0.030688421214152353
lintopride,0.027674157984703487
HSR6071,-0.013452012540596693
YS-201,0.028400035244322025
KME-4,0.04327434150522652
CI-953,0.054343426530928926
NCX-1015,-0.07309179102503367
PF-06873600,-0.1559854752553249
inarigivir-soproxil,-0.0574415325080168
INX-08189,0.023674833092432127
talaporfin,0.007555580938898078
amenamevir,0.03153803919553354
acetylspiramycin,-0.02285866423298241
alpha-glucosyl-hesperidin,0.023495189689084955
TP-3654,0.041928297519710035
tulrampator,-0.025283145617617575
ripretinib,-0.02493768052518114
TEN-010,-0.11246456504497468
FK-409,-0.0038899096127419748
CCT196969,-0.1514157739074073
KM-0118,0.01915294777204764
CK-101,0.03728158073142182
salvianolic-acid-A,-0.018388086953410838
WP921,-0.023306548510940977
LY2828360,-0.022637944885740877
